rank,stadium,capacity,region,country,city,images,home_team,location
95,Hard Rock Stadium,65326,North America,United States,"Miami Gardens, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Interior_of_updated_Hard_Rock_Stadium.jpg/220px-Interior_of_updated_Hard_Rock_Stadium.jpg,"Miami Dolphins, Miami Hurricanes football","[25.95790315, -80.2388497397]"
96,Olympic Stadium,65255,North America,Canada,"Montreal, Quebec",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/220px-Montreal_Impact_CONCACAF_FINAL.jpg,CF Montréal,"[45.55779835, -73.5516458052]"
97,Basra International Stadium,65227,West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/220px-Basra_International_Stadium_Opening_2.JPG,Iraq national football team,"[30.4399273, 47.7798634136]"
98,Camping World Stadium,65000,North America,United States,"Orlando, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Citrus_Bowl%2C_Construction_progress.jpg/220px-Citrus_Bowl%2C_Construction_progress.jpg,,"[28.5390623, -81.4027485784]"
99,Alamodome,65000,North America,United States,San Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alamodome_Conference_USA_Championship.jpg/220px-Alamodome_Conference_USA_Championship.jpg,UTSA Roadrunners football,"[29.4168923, -98.4788948757]"
100,Ford Field,65000,North America,United States,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/FordField-2008NCAAtournament-MidwestRegional.jpg/220px-FordField-2008NCAAtournament-MidwestRegional.jpg,Detroit Lions,"[42.33995675, -83.045616574]"
101,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stade_Ibn_Batuta%2C_Tanger.jpg/220px-Stade_Ibn_Batuta%2C_Tanger.jpg,IR Tanger,"[35.74124485, -5.8580756424]"
102,Stade du 5-juillet-1962,64000,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/220px-Stade_5_Juillet_1962.jpg,Algeria national football team,"[36.75951425, 2.9952724128]"
103,Castelão,63903,South America,Brazil,"Fortaleza, Ceará",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/220px-Castel%C3%A3o_Arena_%285%29.jpg,"Ceará SC, Fortaleza EC","[-3.80674195, -38.5216794073]"
104,Saitama Stadium 2002,63700,East Asia,Japan,Saitama,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saitama_Stadium_Panorama.jpg/220px-Saitama_Stadium_Panorama.jpg,"Urawa Red Diamonds, Saitama Wild Knights","[35.90308, 139.7168256211]"
105,Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg/220px-Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,"Orlando Pirates FC, Emirates Johannesburg Lions","[-26.19747885, 28.0607682379]"
106,Tottenham Hotspur Stadium,62303,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Spurs_stadium_January_2020.jpg/220px-Spurs_stadium_January_2020.jpg,Tottenham Hotspur F.C.,"[51.604157, -0.06626041]"
107,Veltins-Arena,62271,Europe,Germany,Gelsenkirchen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/080110_schalke_arena_germany.JPG/220px-080110_schalke_arena_germany.JPG,FC Schalke 04,"[51.55459375, 7.067600069]"
108,Yizhong Sports Centre Stadium,62000,East Asia,China,"Qingdao, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Qingdao_Guoxin_Stadium.jpg/220px-Qingdao_Guoxin_Stadium.jpg,Qingdao Jonoon FC,"[36.0638034, 120.3781372]"
109,Mineirão,61846,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg/220px-Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg,"Atlético Mineiro, Cruzeiro EC","[-19.8659115, -43.9710434043]"
110,King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg/220px-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab","[24.7885806, 46.8391448601]"
111,Soldier Field,61500,North America,United States,Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Refurbished_Soldier_Field.jpg/220px-The_Refurbished_Soldier_Field.jpg,Chicago Bears,"[41.86245145, -87.616715147]"
112,Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,"Nanjing, Jiangsu",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg/220px-Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg,,"[32.01068245, 118.7197542541]"
113,Estadio Benito Villamarín,60720,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Estadio_Benito_Villamar%C3%ADn_2018001.jpg/220px-Estadio_Benito_Villamar%C3%ADn_2018001.jpg,Real Betis,"[37.35653545, -5.9817565562]"
114,Abuja Stadium,60491,Africa,Nigeria,Abuja,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Football_heaven.jpg/220px-Football_heaven.jpg,Nigeria national football team,"[9.0643305, 7.4892974]"
115,MHPArena,60469,Europe,Germany,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Neckarstadion_2011.jpg/220px-Neckarstadion_2011.jpg,VfB Stuttgart,"[48.8911701, 9.1824201572]"
116,Celtic Park,60411,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Celtic_park_2.jpg/220px-Celtic_park_2.jpg,Celtic FC,"[55.8497578, -4.2054688699]"
117,Emirates Stadium,60338,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Emirates_Stadium_-_East_stand_Club_Level.jpg/220px-Emirates_Stadium_-_East_stand_Club_Level.jpg,Arsenal F.C.,"[51.55504035, -0.1083996709]"
118,Shenzhen Universiade Sports Centre,60334,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg/220px-%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,,"[22.69854985, 114.2110765984]"
119,Stadio Diego Armando Maradona,60240,Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/220px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,Napoli,"[40.82797725, 14.1928889639]"
120,Estadio Centenario,60235,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Estadio_Centenario_2021.jpg/220px-Estadio_Centenario_2021.jpg,Uruguay national football team,"[-34.89453925, -56.1526840941]"
121,Estádio do Arruda,60044,South America,Brazil,"Recife, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/220px-Arruda_em_novembro_de_2013.JPG,Santa Cruz FC,"[-8.0268093, -34.8911966745]"
122,Al-Bayt Stadium,60000,West Asia,Qatar,Al Khor,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/220px-Al_Bayt_Stadium_architecture.jpg,,"[25.6521339, 51.4878054731]"
123,Benjamin Mkapa National Stadium,60000,Africa,Tanzania,Dar es-Salaam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/220px-Tanzania_National_Main_Stadium_Aerial.jpg,"Tanzania national football team, Young Africans","[-6.8535813, 39.2732989607]"
124,Hefei Olympic Sports Centre Stadium,60000,East Asia,China,"Hefei, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/220px-Hefei_Olympic_Sports_Center_Stadium.jpg,Anhui Jiufang,"[31.797877, 117.2226120308]"
125,Jaber al-Ahmad International Stadium,60000,West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/220px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,Kuwait national football team,"[29.27146495, 47.9187755027]"
126,Hammadi Agrebi Stadium,60000,Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/220px-Mozambique-Tunisia_match_2009.jpg,Tunisia national football team,"[36.74777165, 10.2731399862]"
127,Jawaharlal Nehru Stadium,60000,South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/220px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,,"[28.58337705, 77.2335404029]"
128,Estádio da Machava,60000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-25.9174099, 32.5263788473]"
129,Mogadishu Stadium,60000,Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/220px-Mogadishustadium.jpg,Somalia national football team,"[2.06746715, 45.335464789]"
130,National Heroes Stadium,60000,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/220px-Inauguration_of_Edgar_Lungu.jpg,Zambian national football team,"[-15.3695067, 28.2737420222]"
131,Odi Stadium,60000,Africa,South Africa,"Mabopane, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[-25.5216914, 28.040565091]"
132,Shenyang Olympic Sports Center Stadium,60000,East Asia,China,"Shenyang, Liaoning",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/220px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,,"[41.8026095, 123.4279105]"
133,Optus Stadium,60000,Oceania,Australia,"Perth, Western Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/220px-Perth_Stadium_opening_210118_gnangarra-10.jpg,"Perth Glory FC, Fremantle Dockers, West Coast Eagles","[-31.9510448, 115.8890756277]"
134,Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/220px-Estadio_Monumental_de_Barcelona.jpg,Barcelona Sporting Club,"[-2.18572035, -79.9249708426]"
135,Groupama Stadium,59186,Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/220px-Stade_Lumi%C3%A8re.jpg,Olympique Lyonnais,"[45.7653624, 4.9820543111]"
136,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/220px-Chongqing_Olympic_Stadium.jpg,Chongqing Lifan,"[29.52863975, 106.5021602895]"
137,Stadion Narodowy,58580,Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/220px-National_Stadium_panorama.jpg,Poland national football team,"[52.2399367, 21.0452876996]"
138,Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/220px-Nuoviseggiolinisannicola.jpg,SSC Bari,"[41.0847276, 16.8400848978]"
139,Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/220px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,,"[37.41723525, -6.0046133617]"
140,Carter–Finley Stadium,57583,North America,United States,"Raleigh, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/220px-Carter_Finley_Stadium_at_Sunset.jpg,NC State Wolfpack football,"[35.80084645, -78.7196045158]"
141,Volksparkstadion,57030,Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/220px-Volksparkstadion_Panorama.jpg,Hamburger SV,"[53.5871535, 9.8987055537]"
142,Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/220px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"Talleres de Córdoba, some Belgrano de Córdoba matches.","[-31.36884685, -64.2461450792]"
143,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/220px-JinanOlympic.JPG,Shandong Taishan,"[36.65637625, 117.110232194]"
144,Estadio Jalisco,56713,North America,Mexico,"Guadalajara, Jalisco",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/220px-Estadio_Jalisco_06022022.jpg,Atlas,"[21.52065345, -102.2328443329]"
145,Commonwealth Stadium,56302,North America,Canada,"Edmonton, Alberta",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/220px-Commonwealth_Stadium.jpg,"Edmonton Elks, Canadian men's and women's national teams","[53.55970035, -113.4776475019]"
146,Dodger Stadium,56000,North America,United States,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg/220px-Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,Los Angeles Dodgers,"[34.0736263, -118.2389758157]"
147,Stade du 19-mai-1956,56000,Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/220px-Annaba_Stadium.jpg,USM Annaba,"[36.8858603, 7.7330747274]"
148,Estadi Olímpic Lluís Companys,55926,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/220px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,,"[41.36472, 2.155645097]"
149,Arena do Grêmio,55662,South America,Brazil,"Porto Alegre, Rio Grande do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/220px-Arena_do_Gr%C3%AAmio.jpg,Grêmio FBPA,"[-29.97404295, -51.1951073494]"
150,Arena Națională,55634,Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/220px-Stadionul_National_-_National_Arena_3.jpg,Romania national football team,"[44.439534, 26.1503626]"
151,Stadion Rajko Mitić,55538,Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/220px-Zvezda_stadion.jpg,"Red Star Belgrade, Serbia national football team","[44.78322025, 20.4646750509]"
152,Stadion Śląski,55211,Europe,Poland,Chorzów,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/220px-Widok_bramka.jpg,"Poland national football team, Ruch Chorzów","[50.28824565, 18.9734993195]"
153,Etihad Stadium,55097,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/220px-Etihad_Stadium.jpg,Manchester City F.C.,"[53.48309105, -2.2002520023]"
154,Mestalla,55000,Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/220px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,Valencia CF,"[39.4744911, -0.3581183958]"
155,National Stadium,55000,Southeast Asia,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/220px-SingaporeNationalStadiumJapanBrazilFootball.jpg,Singapore national football team,"[1.30449095, 103.8743437185]"
156,National Stadium,55000,East Asia,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/220px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,Chinese Taipei national football team,"[22.70282705, 120.2935993582]"
157,He Long Stadium,55000,East Asia,China,"Changsha, Hunan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/220px-Helong_Stadium.jpg,,"[28.181759, 112.9773896965]"
158,Cape Town Stadium,55000,Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/220px-Cape_Town_Stadium_Inside.jpg,"Cape Town City FC, DHL Western Cape Stormers","[-33.9034601, 18.4111458249]"
159,Plovdiv Stadium,55000,Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/220px-Plovdiv_Stadium.JPG,,"[42.14970905, 24.719840928]"
160,Bobby Dodd Stadium,55000,North America,United States,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/220px-BDS2013.jpg,Georgia Tech Yellow Jackets football,"[33.77249995, -84.3929457339]"
161,Johan Cruyff Arena,54990,Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/220px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,AFC Ajax,"[52.3730796, 4.8924534]"
162,Tianhe Stadium,54856,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/220px-Tianhe_Stadium.jpg,,"[23.1405033, 113.3193596629]"
163,Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/220px-Tianjin_Olympic_Center_Stadium.jpg,Tianjin Teda,"[39.084802, 117.1959904]"
164,MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/220px-LTU_arena_panorama.jpg,Fortuna Düsseldorf,"[51.26162905, 6.7331516101]"
165,Boris Paitchadze Dinamo Arena,54549,West Asia,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/220px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,"Georgia national football team, FC Dinamo Tbilisi","[41.7230833, 44.7898201386]"
166,Wuhan Sports Centre Stadium,54357,East Asia,China,"Wuhan, Hubei",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/220px-Wuhan_Sport_Centre_01.jpg,,"[30.50246795, 114.1661280796]"
167,BC Place Stadium,54320,North America,Canada,"Vancouver, British Columbia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/220px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,"Vancouver Whitecaps FC, BC Lions","[49.2766905, -123.1120061895]"
168,Yankee Stadium,54251,North America,United States,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/220px-YankeeStadium-9-21-22-1.jpg,"New York Yankees, New York City FC","[40.82958275, -73.9265211849]"
169,Hrazdan Stadium,54208,West Asia,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/220px-HrazdanArmeniaTurkey.JPG,"FC Ararat Yerevan, Ulisses FC","[40.18036705, 44.4946722922]"
170,Anfield,54167,Europe,England,"Liverpool, England",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/220px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg,Liverpool F.C.,"[53.4308358, -2.9609095414]"
171,BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/220px-Borussia-Park_DEU-FRA_2011.jpg,Borussia Mönchengladbach,"[51.17462495, 6.3854093679]"
172,Estadio Alberto J. Armando,54000,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/220px-La_Bombonera.jpg,CA Boca Juniors,"[-34.6356227, -58.3648744935]"
173,Moses Mabhida Stadium,54000,Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/220px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,"AmaZulu FC, Cell C Durban Sharks","[-29.8290201, 31.031374086]"
174,Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/220px-BusanAsiadStadium.jpg,Busan IPark,"[35.1900767, 129.0595481429]"
175,Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,"Belém, Pará",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Est%C3%A1dio_Ol%C3%ADmpico_do_Par%C3%A1_-_2.jpg/220px-Est%C3%A1dio_Ol%C3%ADmpico_do_Par%C3%A1_-_2.jpg,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem","[-1.3811366, -48.4448264508]"
176,Adelaide Oval,53500,Oceania,Australia,"Adelaide, South Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/220px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,"Adelaide Crows, Port Adelaide Powers","[-34.9155596, 138.5961478725]"
177,Docklands Stadium,53359,Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/220px-Melbourne_Derby_December_2014.jpg,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne","[-37.816529, 144.9475169767]"
178,Estádio Parque do Sabiá,53350,South America,Brazil,"Uberlândia, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/220px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia EC,"[-18.91308715, -48.2329942146]"
179,San Mamés Stadium,53332,Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/220px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Athletic Bilbao,"[43.264204, -2.9493914529]"
180,Aleppo International Stadium,53200,West Asia,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/220px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad,"[36.1849318, 37.1176418366]"
181,Estadio Ciudad de La Plata,53000,South America,Argentina,La Plata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/220px-EstadioUnicoLaPlata_Interior_June2014.jpg,"Estudiantes de La Plata, Club de Gimnasia y Esgrima La Plata","[-34.91384075, -57.9890476248]"
182,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/220px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou FC,"[30.2489634, 120.2052342]"
183,Nef Stadyumu,52652,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/220px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray,"[41.10342555, 28.9910379503]"
184,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/220px-Suncorpstadium071006a.JPG,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds","[-27.46486025, 153.0096055]"
185,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/220px-StJamesParkPanorama.jpg,Newcastle United F.C.,"[54.9754693, -1.6218736662]"
186,Stade Prince Moulay Abdellah,52000,Africa,Morocco,Rabat,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Stade_Prince_Moulay_Abdellah.jpg/220px-Stade_Prince_Moulay_Abdellah.jpg,Morocco national football team,"[33.95980675, -6.8899476338]"
187,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/220px-Kings_Park_panorama.jpg,"Lamontville Golden Arrows, Cell C Durban Sharks","[-29.82480505, 31.0289735201]"
188,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/220px-Proudly_South_African.jpg,,"[-33.9705226, 18.4685626255]"
