rank,stadium,capacity,region,country,city,images,home_team
107,Veltins-Arena,"62,271",Europe,Germany,Gelsenkirchen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/080110_schalke_arena_germany.JPG/220px-080110_schalke_arena_germany.JPG,FC Schalke 04
108,Yizhong Sports Centre Stadium,"62,000",East Asia,China,"Qingdao, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Qingdao_Guoxin_Stadium.jpg/220px-Qingdao_Guoxin_Stadium.jpg,Qingdao Jonoon FC
109,Mineirão,"61,846",South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg/220px-Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg,"Atlético Mineiro, Cruzeiro EC"
110,King Fahd International Stadium,"61,781",West Asia,Saudi Arabia,Riyadh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg/220px-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab"
111,Soldier Field,"61,500",North America,United States,Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Refurbished_Soldier_Field.jpg/220px-The_Refurbished_Soldier_Field.jpg,Chicago Bears
112,Nanjing Olympic Sports Centre Stadium,"61,443",East Asia,China,"Nanjing, Jiangsu",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg/220px-Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg,
113,Estadio Benito Villamarín,"60,720",Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Estadio_Benito_Villamar%C3%ADn_2018001.jpg/220px-Estadio_Benito_Villamar%C3%ADn_2018001.jpg,Real Betis
114,Abuja Stadium,"60,491",Africa,Nigeria,Abuja,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Football_heaven.jpg/220px-Football_heaven.jpg,Nigeria national football team
115,MHPArena,"60,469",Europe,Germany,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Neckarstadion_2011.jpg/220px-Neckarstadion_2011.jpg,VfB Stuttgart
116,Celtic Park,"60,411",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Celtic_park_2.jpg/220px-Celtic_park_2.jpg,Celtic FC
117,Emirates Stadium,"60,338",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Emirates_Stadium_-_East_stand_Club_Level.jpg/220px-Emirates_Stadium_-_East_stand_Club_Level.jpg,Arsenal F.C.
118,Shenzhen Universiade Sports Centre,"60,334",East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg/220px-%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,
119,Stadio Diego Armando Maradona,"60,240",Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/220px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,Napoli
120,Estadio Centenario,"60,235",South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Estadio_Centenario_2021.jpg/220px-Estadio_Centenario_2021.jpg,Uruguay national football team
121,Estádio do Arruda,"60,044",South America,Brazil,"Recife, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/220px-Arruda_em_novembro_de_2013.JPG,Santa Cruz FC
122,Al-Bayt Stadium,"60,000",West Asia,Qatar,Al Khor,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/220px-Al_Bayt_Stadium_architecture.jpg,
123,Benjamin Mkapa National Stadium,"60,000",Africa,Tanzania,Dar es-Salaam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/220px-Tanzania_National_Main_Stadium_Aerial.jpg,"Tanzania national football team, Young Africans"
124,Hefei Olympic Sports Centre Stadium,"60,000",East Asia,China,"Hefei, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/220px-Hefei_Olympic_Sports_Center_Stadium.jpg,Anhui Jiufang
125,Jaber al-Ahmad International Stadium,"60,000",West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/220px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,Kuwait national football team
126,Hammadi Agrebi Stadium,"60,000",Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/220px-Mozambique-Tunisia_match_2009.jpg,Tunisia national football team
127,Jawaharlal Nehru Stadium,"60,000",South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/220px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,
128,Estádio da Machava,"60,000",Africa,Mozambique,Maputo,NO_IMAGE,Mozambique national football team
129,Mogadishu Stadium,"60,000",Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/220px-Mogadishustadium.jpg,Somalia national football team
130,National Heroes Stadium,"60,000",Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/220px-Inauguration_of_Edgar_Lungu.jpg,Zambian national football team
131,Odi Stadium,"60,000",Africa,South Africa,"Mabopane, Gauteng",NO_IMAGE,
132,Shenyang Olympic Sports Center Stadium,"60,000",East Asia,China,"Shenyang, Liaoning",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/220px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,
133,Optus Stadium,"60,000",Oceania,Australia,"Perth, Western Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/220px-Perth_Stadium_opening_210118_gnangarra-10.jpg,"Perth Glory FC, Fremantle Dockers, West Coast Eagles"
134,Estadio Monumental Isidro Romero Carbo,"59,283",South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/220px-Estadio_Monumental_de_Barcelona.jpg,Barcelona Sporting Club
135,Groupama Stadium,"59,186",Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/220px-Stade_Lumi%C3%A8re.jpg,Olympique Lyonnais
136,Chongqing Olympic Sports Centre Stadium,"58,680",East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/220px-Chongqing_Olympic_Stadium.jpg,Chongqing Lifan
137,Stadion Narodowy,"58,580",Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/220px-National_Stadium_panorama.jpg,Poland national football team
138,Stadio San Nicola,"58,270",Europe,Italy,"Bari, Apulia",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/220px-Nuoviseggiolinisannicola.jpg,SSC Bari
139,Estadio La Cartuja de Sevilla,"57,619",Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/220px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,
140,Carter–Finley Stadium,"57,583",North America,United States,"Raleigh, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/220px-Carter_Finley_Stadium_at_Sunset.jpg,NC State Wolfpack football
141,Volksparkstadion,"57,030",Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/220px-Volksparkstadion_Panorama.jpg,Hamburger SV
142,Estadio Mario Alberto Kempes,"57,000",South America,Argentina,Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/220px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"Talleres de Córdoba, some Belgrano de Córdoba matches."
143,Jinan Olympic Sports Centre Stadium,"56,808",East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/220px-JinanOlympic.JPG,Shandong Taishan
144,Estadio Jalisco,"56,713",North America,Mexico,"Guadalajara, Jalisco",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/220px-Estadio_Jalisco_06022022.jpg,Atlas
145,Commonwealth Stadium,"56,302",North America,Canada,"Edmonton, Alberta",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/220px-Commonwealth_Stadium.jpg,"Edmonton Elks, Canadian men's and women's national teams"
146,Dodger Stadium,"56,000",North America,United States,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg/220px-Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,Los Angeles Dodgers
147,Stade du 19-mai-1956,"56,000",Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/220px-Annaba_Stadium.jpg,USM Annaba
148,Estadi Olímpic Lluís Companys,"55,926",Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/220px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,
149,Arena do Grêmio,"55,662",South America,Brazil,"Porto Alegre, Rio Grande do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/220px-Arena_do_Gr%C3%AAmio.jpg,Grêmio FBPA
150,Arena Națională,"55,634",Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/220px-Stadionul_National_-_National_Arena_3.jpg,Romania national football team
151,Stadion Rajko Mitić,"55,538",Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/220px-Zvezda_stadion.jpg,"Red Star Belgrade, Serbia national football team"
152,Stadion Śląski,"55,211",Europe,Poland,Chorzów,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/220px-Widok_bramka.jpg,"Poland national football team, Ruch Chorzów"
153,Etihad Stadium,"55,097",Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/220px-Etihad_Stadium.jpg,Manchester City F.C.
154,Mestalla,"55,000",Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/220px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,Valencia CF
155,National Stadium,"55,000",Southeast Asia,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/220px-SingaporeNationalStadiumJapanBrazilFootball.jpg,Singapore national football team
156,National Stadium,"55,000",East Asia,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/220px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,Chinese Taipei national football team
157,He Long Stadium,"55,000",East Asia,China,"Changsha, Hunan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/220px-Helong_Stadium.jpg,
158,Cape Town Stadium,"55,000",Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/220px-Cape_Town_Stadium_Inside.jpg,"Cape Town City FC, DHL Western Cape Stormers"
159,Plovdiv Stadium,"55,000",Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/220px-Plovdiv_Stadium.JPG,
160,Bobby Dodd Stadium,"55,000",North America,United States,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/220px-BDS2013.jpg,Georgia Tech Yellow Jackets football
161,Johan Cruyff Arena,"54,990",Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/220px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,AFC Ajax
162,Tianhe Stadium,"54,856",East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/220px-Tianhe_Stadium.jpg,
163,Tianjin Olympic Sports Centre Stadium,"54,696",East Asia,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/220px-Tianjin_Olympic_Center_Stadium.jpg,Tianjin Teda
164,MERKUR SPIEL-ARENA,"54,600",Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/220px-LTU_arena_panorama.jpg,Fortuna Düsseldorf
165,Boris Paitchadze Dinamo Arena,"54,549",West Asia,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/220px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,"Georgia national football team, FC Dinamo Tbilisi"
166,Wuhan Sports Centre Stadium,"54,357",East Asia,China,"Wuhan, Hubei",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/220px-Wuhan_Sport_Centre_01.jpg,
167,BC Place Stadium,"54,320",North America,Canada,"Vancouver, British Columbia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/220px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,"Vancouver Whitecaps FC, BC Lions"
168,Yankee Stadium,"54,251",North America,United States,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/220px-YankeeStadium-9-21-22-1.jpg,"New York Yankees, New York City FC"
169,Hrazdan Stadium,"54,208",West Asia,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/220px-HrazdanArmeniaTurkey.JPG,"FC Ararat Yerevan, Ulisses FC"
170,Anfield,"54,167",Europe,England,"Liverpool, England",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/220px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg,Liverpool F.C.
171,BORUSSIA-PARK,"54,057",Europe,Germany,Mönchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/220px-Borussia-Park_DEU-FRA_2011.jpg,Borussia Mönchengladbach
172,Estadio Alberto J. Armando,"54,000",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/220px-La_Bombonera.jpg,CA Boca Juniors
173,Moses Mabhida Stadium,"54,000",Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/220px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,"AmaZulu FC, Cell C Durban Sharks"
174,Busan Asiad Main Stadium,"53,864",East Asia,South Korea,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/220px-BusanAsiadStadium.jpg,Busan IPark
175,Estádio Estadual Jornalista Edgar Augusto Proença,"53,645",South America,Brazil,"Belém, Pará",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Est%C3%A1dio_Ol%C3%ADmpico_do_Par%C3%A1_-_2.jpg/220px-Est%C3%A1dio_Ol%C3%ADmpico_do_Par%C3%A1_-_2.jpg,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem"
176,Adelaide Oval,"53,500",Oceania,Australia,"Adelaide, South Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/220px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,"Adelaide Crows, Port Adelaide Powers"
177,Docklands Stadium,"53,359",Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/220px-Melbourne_Derby_December_2014.jpg,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne"
178,Estádio Parque do Sabiá,"53,350",South America,Brazil,"Uberlândia, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/220px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia EC
179,San Mamés Stadium,"53,332",Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/220px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Athletic Bilbao
180,Aleppo International Stadium,"53,200",West Asia,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/220px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad
181,Estadio Ciudad de La Plata,"53,000",South America,Argentina,La Plata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/220px-EstadioUnicoLaPlata_Interior_June2014.jpg,"Estudiantes de La Plata, Club de Gimnasia y Esgrima La Plata"
182,Huanglong Stadium,"52,672",East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/220px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou FC
183,Nef Stadyumu,"52,652",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/220px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
184,Suncorp Stadium,"52,500",Oceania,Australia,"Brisbane, Queensland",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/220px-Suncorpstadium071006a.JPG,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
185,St. James' Park,"52,405",Europe,England,"Newcastle upon Tyne, North East",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/220px-StJamesParkPanorama.jpg,Newcastle United F.C.
186,Stade Prince Moulay Abdellah,"52,000",Africa,Morocco,Rabat,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Stade_Prince_Moulay_Abdellah.jpg/220px-Stade_Prince_Moulay_Abdellah.jpg,Morocco national football team
187,Kings Park Stadium,"52,000",Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/220px-Kings_Park_panorama.jpg,"Lamontville Golden Arrows, Cell C Durban Sharks"
188,Newlands Stadium,"51,900",Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/220px-Proudly_South_African.jpg,
189,Hampden Park,"51,866",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/220px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park F.C."
190,Estadio Monumental de Maturín,"51,796",South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/220px-Monumental_de_maturin_3.jpg,Monagas Sport Club
191,Loftus Versfeld Stadium,"51,762",Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/220px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls
192,Aviva Stadium,"51,700",Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/220px-Aviva_Stadium_Panoramic.jpg,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
193,Guiyang Olympic Sports Centre Stadium,"51,638",East Asia,China,"Guiyang, Guizhou",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/220px-Guiyang_Olympic_Sports_Center.jpg,
194,Hohhot City Stadium,"51,632",East Asia,China,"Hohhot, Inner Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/220px-Hohhot_City_Stadium.jpg,
195,Rajamangala National Stadium,"51,552",Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/220px-Rajamangala_Stadium_Panorama.jpg,Thailand national football team
196,Donbass Arena,"51,504",Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Donbass_Arena.jpg/220px-Donbass_Arena.jpg,
197,Deutsche Bank Park,"51,500",Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/220px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Eintracht Frankfurt
198,Estadio Presidente Juan Domingo Perón,"51,389",South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panoramica_Cilindro.jpg/220px-Panoramica_Cilindro.jpg,Racing Club de Avellaneda
199,İzmir Atatürk Stadyumu,"51,295",West Asia,Turkey,İzmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/220px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"Altay SK, Göztepe AŞ"
200,Stadion Feijenoord,"51,117",Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/220px-Rotterdam_De_Kuip_1.jpg,Feyenoord
201,Estadio BBVA,"51,000",North America,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/220px-Estadio_BBVA.jpg,CF Monterrey
202,Ghadir Stadium,"51,000",West Asia,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/220px-Al-Ghadeer_Stadium.jpg,Foolad FC
203,Estádio Beira-Rio,"50,942",South America,Brazil,Porto Alegre. Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/220px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC Internacional
204,Ibrox Stadium,"50,817",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/220px-Rangers-SM_%281%29.jpg,Rangers F.C.
205,Shizuoka Stadium,"50,889",East Asia,Japan,"Fukuroi, Shizuoka",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/220px-Ecopa030304.jpg,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs"
206,Ernst-Happel-Stadion,"50,865",Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/220px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team
207,Huntington Bank Stadium,"50,805",North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MNUFCTCF.jpeg/220px-MNUFCTCF.jpeg,Minnesota Golden Gophers football
208,Estadio Cuauhtémoc,"50,754",North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/220px-Rampa_norte.jpg,Puebla FC
209,Friends Arena,"50,653",Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/220px-FriendsArena_SwedenSpain.jpg,"Sweden national football team, AIK Fotboll"
210,Ülker Stadyumu,"50,509",West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/220px-Sukrusaracoglu.jpg,Fenerbahçe
211,Stanford Stadium,"50,424",North America,United States,"Palo Alto, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/220px-2008-1115-006-USC-Stanford-PAN.jpg,
212,Stade Pierre-Mauroy,"50,186",Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/220px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille OSC
213,King Baudouin Stadium,"50,122",Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/220px-Stade_Roi_Baudouin.JPG,Belgium national football team
214,Shaanxi Province Stadium,"50,100",East Asia,China,"Xi'an, Shaanxi",NO_IMAGE,
